	cluster
GTEX-ZYW4-1526-SM-5SIBA	0
GTEX-WVJS-0226-SM-4MVOU	4
GTEX-WY7C-0226-SM-3NB37	3
GTEX-RVPU-0005-SM-2TF6L	1
GTEX-145ME-1926-SM-5SI9S	4
GTEX-SNOS-0006-SM-32PLH	1
GTEX-QEG5-0006-SM-2I5FZ	1
GTEX-Z9EW-1826-SM-5CVMA	4
GTEX-W5WG-2526-SM-4SOJ2	4
GTEX-11XUK-2126-SM-5EQLR	4
GTEX-13QJC-0826-SM-5RQKC	3
GTEX-14ABY-0926-SM-5Q5DY	3
GTEX-145LT-0326-SM-5LUAD	0
GTEX-13PL6-1026-SM-5L3E5	3
GTEX-11DYG-0826-SM-5N9GH	3
GTEX-13U4I-1826-SM-5IJD2	2
GTEX-111VG-0526-SM-5N9BW	3
GTEX-WYJK-0005-SM-3NMA1	1
GTEX-13NYS-0326-SM-5MR4L	2
GTEX-145LS-1226-SM-5Q5D9	0
GTEX-WZTO-0006-SM-3NM9T	1
GTEX-13111-0226-SM-5EQ55	3
GTEX-13VXT-0626-SM-5SIA1	3
GTEX-P4QR-0426-SM-2S1NV	4
GTEX-133LE-0526-SM-5N9EJ	0
GTEX-NL3G-0226-SM-4RGLU	4
GTEX-11EQ9-0006-SM-5LUB6	1
GTEX-ZY6K-0226-SM-5SIAY	3
GTEX-OXRL-0226-SM-3NB18	4
GTEX-145MN-2626-SM-5NQAH	4
GTEX-13FLW-0326-SM-5J2M4	3
GTEX-WFG7-0326-SM-5SI7L	3
GTEX-132QS-0005-SM-5LZXK	1
GTEX-X4EO-0426-SM-4QASA	4
GTEX-XV7Q-2626-SM-4BRVA	4
GTEX-VJYA-0326-SM-3GAEX	0
GTEX-113JC-2726-SM-5EGIS	2
GTEX-O5YW-0526-SM-2YUMX	0
GTEX-11P7K-0006-SM-5N9FM	1
GTEX-111FC-0226-SM-5N9B8	4
GTEX-UJHI-1626-SM-3DB9A	4
GTEX-111CU-2026-SM-5GZZC	2
GTEX-11ZUS-1426-SM-5FQSP	2
GTEX-14ABY-1126-SM-5Q5F8	0
GTEX-PLZ6-0426-SM-5IFK2	0
GTEX-S341-0326-SM-2XCAU	0
GTEX-ZPU1-0006-SM-4WWAT	1
GTEX-RM2N-1626-SM-2TF5N	2
GTEX-146FQ-0326-SM-5NQAX	2
GTEX-1192X-1126-SM-5EGGU	3
GTEX-11EI6-0226-SM-5EQ64	4
GTEX-13NZA-1426-SM-5KM4Y	0
GTEX-S4P3-1626-SM-3K2AZ	2
GTEX-VUSG-0426-SM-3GIKD	3
GTEX-QEG5-0826-SM-2I5GF	3
GTEX-OOBK-0226-SM-2YUMF	4
GTEX-S3XE-1626-SM-3K2AJ	4
GTEX-13FH7-0126-SM-5KLZ1	3
GTEX-11EQ8-0826-SM-5N9FG	3
GTEX-XYKS-0005-SM-4BRUD	1
GTEX-TMMY-0926-SM-4TT1Z	0
GTEX-ZQG8-1526-SM-5HL65	4
GTEX-132AR-1026-SM-5PNVL	2
GTEX-ZVZQ-0626-SM-59HJU	3
GTEX-145MH-0326-SM-5LU8H	2
GTEX-145LU-2026-SM-5Q5E8	2
GTEX-QESD-1626-SM-2S1RB	2
GTEX-14BMV-0326-SM-5RQHW	2
GTEX-OXRK-0326-SM-3NB3R	4
GTEX-SE5C-0006-SM-4BRW5	1
GTEX-RTLS-0226-SM-2TF5E	4
GTEX-11ZTS-1226-SM-5EQMQ	0
GTEX-Y8DK-0326-SM-4TT3P	2
GTEX-RU1J-0226-SM-2TF5Y	3
GTEX-ZPCL-0126-SM-4WWC8	3
GTEX-PWN1-1626-SM-2S1OL	2
GTEX-12126-0526-SM-5PNW4	2
GTEX-11ZVC-0126-SM-5986G	3
GTEX-13D11-0226-SM-5LZXL	3
GTEX-U412-0826-SM-3DB9K	0
GTEX-11P82-1826-SM-5PNYJ	2
GTEX-WFG8-0926-SM-3GIKJ	0
GTEX-147F4-0006-SM-5O99T	1
GTEX-14A5I-0326-SM-5NQ9J	2
GTEX-POYW-0526-SM-2XCEY	2
GTEX-11GS4-2626-SM-5A5LD	4
GTEX-13NYS-0226-SM-5MR49	4
GTEX-Y5LM-0005-SM-4V6EJ	1
GTEX-1497J-2326-SM-5NQBK	4
GTEX-ZA64-2026-SM-5PNXT	2
GTEX-13PDP-1026-SM-5L3FA	3
GTEX-UJMC-0726-SM-3GADX	0
GTEX-148VJ-0726-SM-5LU8J	3
GTEX-WRHU-0006-SM-3MJF6	1
GTEX-147F3-0005-SM-5N9FI	1
GTEX-XPT6-0006-SM-4B66Q	1
GTEX-131XG-2326-SM-5HL8F	2
GTEX-12WSE-0005-SM-5NQAE	1
GTEX-R3RS-0005-SM-3GAEH	1
GTEX-1399R-2526-SM-5IFG2	2
GTEX-REY6-0426-SM-2TF5G	0
GTEX-QXCU-0626-SM-2TC69	0
GTEX-13SLX-0326-SM-5Q5E4	2
GTEX-139T6-2126-SM-5KM37	4
GTEX-SNMC-1326-SM-2XCFK	4
GTEX-X88G-0006-SM-47JX5	1
GTEX-QDT8-0006-SM-5SI8N	1
GTEX-12WSK-0826-SM-5CVNP	0
GTEX-U3ZN-2226-SM-3DB88	2
GTEX-Y8LW-2026-SM-4V6G8	2
GTEX-ZZ64-1526-SM-5E43K	2
GTEX-XBED-0006-SM-47JXO	1
GTEX-XQ8I-0006-SM-4BOQ5	1
GTEX-13FHO-0326-SM-5IJBH	4
GTEX-QEG5-0326-SM-2S1PB	4
GTEX-14ICK-0006-SM-5NQB5	1
GTEX-WYVS-0006-SM-3NMA7	1
GTEX-T8EM-0326-SM-3DB7F	0
GTEX-13OVH-0626-SM-5L3EI	2
GTEX-SSA3-0226-SM-32QPN	4
GTEX-11DXZ-2426-SM-5N9DT	2
GTEX-11PRG-0326-SM-5GU53	2
GTEX-147F4-0926-SM-5Q5EO	0
GTEX-Y114-0626-SM-4TT98	3
GTEX-13112-2626-SM-5BC66	2
GTEX-ZVT4-0006-SM-57WB8	1
GTEX-ZXG5-0005-SM-57WCN	1
GTEX-OHPL-0526-SM-3NM8U	0
GTEX-11ZTS-0226-SM-5EQKD	4
GTEX-11LCK-0526-SM-5A5M9	3
GTEX-S7SF-1826-SM-3K2AD	4
GTEX-PSDG-0005-SM-3GADC	1
GTEX-13O61-0005-SM-5O9AU	1
GTEX-X638-0326-SM-47JY1	2
GTEX-S4Z8-0326-SM-3K2AU	3
GTEX-U3ZM-0426-SM-3DB73	0
GTEX-RU1J-1726-SM-2TF5S	2
GTEX-13FTZ-0005-SM-5NQ9N	1
GTEX-12BJ1-0426-SM-5FQSO	3
GTEX-S7SE-0005-SM-2XCEA	1
GTEX-ZGAY-1026-SM-4WWBR	3
GTEX-13YAN-0926-SM-5O9C3	3
GTEX-ZYT6-1626-SM-5E45R	2
GTEX-14DAR-0226-SM-5S2PR	0
GTEX-U8T8-1426-SM-3DB9H	2
GTEX-13VXU-0006-SM-5N9FF	1
GTEX-TKQ2-0006-SM-33HBH	1
GTEX-12WSL-0626-SM-5GCOY	3
GTEX-S4Q7-0006-SM-3K2AT	1
GTEX-11NUK-0226-SM-5A5L4	2
GTEX-XQ3S-0426-SM-4BOOA	2
GTEX-YECK-0926-SM-4W214	0
GTEX-13X6K-0326-SM-5Q5D6	2
GTEX-PW2O-1726-SM-2S1OO	2
GTEX-XBEW-0226-SM-4AT6A	0
GTEX-11DXW-0726-SM-5H12J	2
GTEX-ZYFD-0826-SM-5NQ9A	3
GTEX-OXRL-1626-SM-2YUMU	2
GTEX-13PL7-0626-SM-5IJCD	2
GTEX-ZQG8-0926-SM-57WFF	3
GTEX-SNOS-1526-SM-32PLW	2
GTEX-13OW6-0005-SM-5NQ9Z	1
GTEX-13O3P-1026-SM-5N9E7	0
GTEX-117YW-0526-SM-5H11C	0
GTEX-V955-2426-SM-3GAEF	2
GTEX-RU72-0006-SM-2TF65	1
GTEX-11EMC-0126-SM-5EGKV	0
GTEX-ZTPG-0926-SM-5O99H	0
GTEX-13CF3-1826-SM-5J1NK	2
GTEX-132Q8-0626-SM-5L3F3	2
GTEX-145MO-1326-SM-5Q5EF	0
GTEX-12WSJ-0005-SM-5LU8S	1
GTEX-1192X-0426-SM-5GIEE	2
GTEX-11DXZ-0006-SM-5LZZH	1
GTEX-13OVG-0226-SM-5LU93	3
GTEX-13OW8-0126-SM-5IJE5	3
